id,gender,Category,articleType,baseColour,season,year,usage,productDisplayName,,
15970,Man,Topwear,Shirts,Navy Blue,Fall,2011,Casual,Turtle Check Men Navy Blue Shirt,,
39386,Man,Bottomwear,Jeans,Blue,Summer,2012,Casual,Peter England Men Party Blue Jeans,,
59263,Woman,Accessories,Accessories,Silver,Winter,2016,Casual,Titan Women Silver Watch,,
21379,Man,Bottomwear,Track Pants,Black,Fall,2011,Casual,Manchester United Men Solid Black Track Pants,,
53759,Man,Topwear,Tshirts,Grey,Summer,2012,Casual,Puma Men Grey T-shirt,,
1855,Man,Topwear,Tshirts,Grey,Summer,2011,Casual,Inkfruit Mens Chain Reaction T-shirt,,
30805,Man,Topwear,Shirts,Green,Summer,2012,Ethnic,Fabindia Men Striped Green Shirt,,
26960,Woman,Topwear,Shirts,Purple,Summer,2012,Casual,Jealous 21 Women Purple Shirt,,
30039,Man,Accessories,Accessories,Black,Winter,2016,Casual,Skagen Men Black Watch,,
9204,Man,Shoes,Casual Shoes,Black,Summer,2011,Casual,Puma Men Future Cat Remix SF Black Casual Shoes,,
48123,Woman,Accessories,Belts,Black,Summer,2012,Casual,Fossil Women Black Huarache Weave Belt,,
18653,Man,Flip Flops,Flip Flops,Black,Fall,2011,Casual,Fila Men Cush Flex Black Slippers,,
47957,Woman,Accessories,HandAccessories,Blue,Summer,2012,Casual,Murcia Women Blue Handbag,,
46885,Man,Flip Flops,Flip Flops,Navy Blue,Fall,2012,Casual,Ben 10 Boys Navy Blue Slippers,,
12369,Man,Topwear,Shirts,Purple,Fall,2011,Formal,Reid & Taylor Men Check Purple Shirts,,
29928,Man,Accessories,Accessories,Black,Winter,2016,Casual,Police Men Black Dial Watch PL12889JVSB,,
42419,Woman,Topwear,Tops,White,Summer,2012,Casual,Gini and Jony Girls Knit White Top,,
47359,Woman,Accessories,HandAccessories,Brown,Summer,2012,Casual,Baggit Women Brown Handbag,,
17429,Man,Accessories,Accessories,Black,Winter,2016,Casual,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,,
12967,Man,Sandal,Sandals,Black,Fall,2011,Casual,ADIDAS Men Spry M Black Sandals,,
13089,Man,Topwear,Sweatshirts,Grey,Fall,2011,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,,
9036,Man,Shoes,Formal Shoes,Black,Winter,2011,Formal,Buckaroo Men Flores Black Formal Shoes,,
48311,Woman,Accessories,Bracelet,Bronze,Winter,2012,Casual,Pitaraa Women Bronze Beaded Bracelet,,
7990,Man,Topwear,Tshirts,Navy Blue,Fall,2011,Sports,Fila Men's Round Neck Navy Blue T-shirt,,
21977,Woman,Accessories,HandAccessories,Brown,Winter,2015,Casual,Murcia Women Casual Brown Handbag,,
37812,Man,Topwear,Shirts,Navy Blue,Summer,2012,Formal,John Players Men Navy Blue Shirt,,
4729,Man,Topwear,Tshirts,Green,Summer,2011,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,,
56825,Man,Topwear,Shirts,Brown,Summer,2012,Casual,John Players Men Brown Shirt,,
39988,Man,Shoes,Casual Shoes,White,Winter,2014,Casual,Gas Men Europa White Shoes,,
59051,Woman,Shoes,Flats,Black,Winter,2012,Casual,Carlton London Women Black & Gold Toned Flats,,
58183,Woman,Accessories,HandAccessories,White,Summer,2012,Casual,Rocky S Women White Handbag,,
29742,Woman,Accessories,HandAccessories,Teal,Summer,2012,Casual,Kiara Women Teal Handbag,,
51658,Woman,Accessories,Accessories,Copper,Winter,2016,Casual,Fossil Women Copper Chronograph Watch CH2589,,
3954,Woman,Topwear,Tshirts,Pink,Summer,2011,Casual,Jealous 21 Women's Pink T-shirt,,
18839,Man,Accessories,Belts,Black,Fall,2011,Formal,Peter England Men Formal Black Belt,,
2886,Woman,Shoes,Flats,Brown,Winter,2015,Casual,Catwalk Women Leather Brown Flats,,
23278,Man,Accessories,Accessories,Off White,Winter,2016,Casual,Maxima Ssteele Men Off White Watch,,
8580,Man,Topwear,Waistcoat,Grey,Fall,2011,Casual,Scullers Men  Grey Waistcoat,,
3168,Man,Shoes,Sports Shoes,White,Fall,2010,Sports,Nike Men's Incinerate MSL White Blue Shoe,,
18005,Man,Bottomwear,Shorts,Black,Summer,2011,Sports,Puma Men Long Logo Black Bermuda,,
9452,Man,Topwear,Shirts,Red,Fall,2011,Formal,John Miller Men Stripes White Red Shirts,,
38402,Woman,Accessories,Belts,Black,Summer,2012,Casual,Baggit Women Hood Dabang Black Belt,,
